Interval,Open,High,Low,Close,Volume
0,124.45542182922362,126.55439404061549,124.37428100856744,126.4845738729965,6286639.076901315
1,126.3580892991235,126.38825926039338,125.03867941175285,125.05383455996562,23267441.672108922
2,124.9732961586545,125.02205444922592,123.42142386872571,123.54436510082981,44520592.46258345
3,123.56434643399395,124.31108634060939,123.46518235621144,124.25544400144925,3408642.8067972325
4,124.18704091509092,126.19620717623995,124.17364976686562,126.15505422159646,32301783.65996707
5,126.06544817586288,126.06575669163233,124.80932131201784,124.92348683641063,9764738.806550477
6,124.91272325299211,126.37458789228845,124.87857270718688,126.26984692300312,32554829.09330379
7,126.30192699386836,126.31526423435278,126.06677238957904,126.16691174949129,28091906.26011618
8,126.11017783940444,126.6918880262629,126.0305998969129,126.59343406492752,12367676.019110858
9,126.72002749899244,126.81764165327584,124.72602868069859,124.8288096669207,26009385.137225155
10,124.70398085725378,125.25161032371491,124.67247551077102,125.14590675682436,36024875.1803786
11,125.0966753641062,125.10612847725189,124.61711516588078,124.64315231791988,16718111.16522124
12,124.62795952258001,124.7253929215799,124.35982432860212,124.44854451616435,0.0
13,124.42366143675999,125.03901265208921,124.30788857518404,124.93473573634587,41806705.150536515
14,125.03411627942268,126.24878770705675,124.91663625242546,126.16007197605784,31579719.03734424
15,126.202067423851,126.236944302336,125.18185852966181,125.2050197195772,16643547.224350486
16,125.08256880026285,126.37640525004791,125.06382184373032,126.30057096404994,16281812.963040326
17,126.42687153501397,128.26455199745095,126.36330158522726,128.2314469698605,24201674.5843683
18,128.3080976816989,129.49877002354162,128.2075465602524,129.45145258147522,12148153.029319398
19,129.409907609115,131.5375561689084,129.37335234084307,131.43049908774987,17116433.065253858
20,131.5619295868376,132.11026245905765,131.4795196159261,132.01544263582034,4728189.3576722
21,132.14745807845614,132.35518672304005,132.06342978886298,132.26936127780104,0.0
22,132.3646053637105,132.44636815142925,130.89738681653625,130.9932420187473,40830810.86413628
23,131.12423526076606,131.53095533967345,131.0491691044855,131.4247334523623,43026302.31031898
24,131.3107216094625,131.33113488393636,130.43908920787453,130.47335523377748,0.0
25,130.46992946953856,130.53822870361896,129.05441608567529,129.11036970113838,29936118.862413526
26,129.0723839317223,129.43003321894452,128.99311250026577,129.42488255688906,71365384.86959264
27,129.55430743944592,129.83990637219003,129.52120052693917,129.74238197610669,14149262.132393926
28,129.61263959413057,129.7402701004062,129.56325103335598,129.59828684662014,21581337.123422462
29,129.54055616626042,131.12333075135376,129.44679696431623,131.02724451726877,8291391.724487655
30,130.8962172727515,131.7358293360718,130.81969924240448,131.62018390119505,5096748.520749258
31,131.55966739980408,133.08448971989728,131.4502482504447,133.03280882344083,9523017.875343286
32,133.16584163226426,134.27333986079654,133.07064035381094,134.25042992897107,15283399.563613415
33,134.33142205039465,134.39890297859864,133.87988835993022,133.9909281087285,35577488.94382186
34,134.0784061718341,134.16568686597734,132.29299854103482,132.29919738848187,36326262.24789303
35,132.3796245353558,132.82771711690853,132.2498745126185,132.78308471871583,14319389.86259134
36,132.75962550994575,132.87979985323386,132.6392398377704,132.82512761172052,47282651.729092136
37,132.81790217285152,132.8694859353686,132.27075629596595,132.284959864013,0.0
38,132.3512905852495,132.46779972209927,130.7447482704778,130.8251826320211,17529020.41934765
39,130.6943574493891,130.7215816676004,130.3581155116403,130.41710025253334,9070485.005281787
40,130.54751735278586,130.71139795532122,130.48665244603256,130.64824577620527,28819828.888507135
41,130.51759753042907,130.54184988139843,128.77683830628138,128.8271001239336,0.0
42,128.87509246854023,129.7527454702722,128.81885058600542,129.62324616318554,35528424.45657172
43,129.6809333548585,129.77542155352484,128.3951845670086,128.44208723314588,25326663.031036146
44,128.31364514591274,130.48232981254395,128.31089867358799,130.40570261890136,28010383.508699775
45,130.38135916957157,131.46522430203623,130.3431747850455,131.37972039296847,5884450.2018483635
46,131.2483406725755,132.99452706287676,131.2225325310854,132.98742879149216,18447348.74046905
47,132.95805013333188,134.13268719196824,132.90442209188126,134.03989973238342,6397985.467623219
48,134.1575317811941,134.16392382038336,133.3591423229864,133.38945704567038,44327565.89874242
49,133.52284650271605,133.53471824592367,132.7008473876299,132.72954355018285,3635550.1618934553
50,132.69146635114151,132.72783735219474,132.4877680062429,132.59933188005422,8275099.821721792
51,132.46673254817418,133.65756527353943,132.3764749505432,133.6154734959224,2051799.9238299727
52,133.71229013280438,133.73583859635824,132.88058071418456,132.9120590215723,10567662.328389661
53,132.90675307969715,132.9997197748009,132.3167971916825,132.4360422737694,24114706.014593173
54,132.47459106302588,134.14610643998557,132.43052443667938,134.13004314474003,8776656.645876486
55,134.26417318788475,134.38231224900608,132.63696756527378,132.7391233927247,17963721.357184622
56,132.68422716666143,132.6979656589525,132.07868014080074,132.10665202089484,6047448.739222435
57,132.1843512437414,133.7626464477437,132.16271243895892,133.74393884898205,14607178.992577806
58,133.76008278414716,133.84231447926885,131.81301942926027,131.9026873375175,5313216.624110034
59,131.9679301508743,132.09012313736136,130.76594641405953,130.78160051113707,1828718.7577497289
60,130.84173357544395,131.85776855856582,130.75032509304248,131.7678085794795,24557706.50325626
61,131.87257009128066,132.29736678629286,131.86772695849962,132.2930386142725,11125773.449288553
62,132.42533165288674,132.46878898612007,130.37964492393775,130.44896569414402,32475528.477647305
63,130.40630526604411,130.44128354410296,129.76004963171752,129.8073106113705,52822750.001366824
64,129.85423373216872,131.91183773943848,129.8103910395111,131.79179745513653,4200097.585480494
65,131.8292612579422,132.853228119477,131.7778426271021,132.78878143090168,4493897.491669003
66,132.8284433837483,132.89860150041136,130.85267427930492,130.93779820080474,196177.9607042037
67,130.80686040260392,130.87931749030926,129.6900647747312,129.80010697353578,21109032.164656185
68,129.81230873869094,131.01537824612953,129.8042249420742,130.89239833273422,38063833.116116896
69,130.76504722772628,130.7656259464826,129.92596121033912,130.0129242034222,29537297.905109607
70,129.91079686285943,129.94910649593803,129.78239319764154,129.79556522663728,12856598.442114856
71,129.88264909762606,131.60263271061598,129.83862844663346,131.48681235197955,3544097.714678513
72,131.3553255396276,131.62067794757417,131.30472202085835,131.5680413214144,21394317.015088044
73,131.5051402290198,131.63062383741973,129.73231160777178,129.7340743591574,11515482.842483902
74,129.74048913571247,129.75022333685115,129.5902955630896,129.6348882554174,22712218.118697118
75,129.59399670114823,130.16614339219268,129.563224417476,130.1250023942679,0.0
76,130.25512739666217,130.3815536420785,129.37856217234238,129.45137954102393,0.0
77,129.58083092056492,129.66669223203064,129.49530158914422,129.56120247437744,0.0
78,129.43164127190306,130.3909924231481,129.30318510996833,130.35386783359712,20789083.762719963
79,130.22351396576352,130.35149877231765,130.00476396369342,130.08450081012873,27670054.585269652
80,129.96013369639422,130.80516668840997,129.88031358751925,130.7387379647496,6780537.215220466
81,130.68567580353724,131.75443601100147,130.679191854727,131.67700051599536,14786830.54425904
82,131.67701911715537,133.73880462823396,131.62714624871472,133.6900710735767,23911840.327538647
83,133.82376114465026,133.87461316063965,133.4965132554092,133.5852266965127,10744567.560935099
84,133.58012567416978,133.6366130004335,133.4109905344224,133.54053470583696,28172651.232966892
85,133.4881897454291,133.55175623554874,131.7933722914413,131.91823032461733,38462248.119649455
86,131.99116966411933,132.08394469298162,131.43236839198758,131.46731454988506,28470207.346206777
87,131.33584723533517,132.2435210435454,131.2719778172145,132.12156101372116,0.0
